Host,Provider,IP (External),IP (Internal),Open Ports,HTTP Status,HTTP Title,Risk Rating,Findings,Technologies,WAF,DNS Records
_amazonses.tesla.com,,,,,0,,N/A,,,,
_dmarc.tesla.com,,,,,0,,N/A,,,,"TXT:ag.dmarcian.com, TXT:fr.dmarcian.com"
_sip._tls.tesla.com,,,,,0,,N/A,,,,SRV:sipdir.online.lync.com
_sipfederationtls._tcp.tesla.com,,,,,0,,N/A,,,,SRV:sipfed.online.lync.com
accounts.tesla.com,cdn-akamai,"23.210.16.63, 2a02:26f0:6d00:691::700, 2a02:26f0:6d00:6aa::700",,"80, 443",403,Access Denied,LOW,"http://accounts.tesla.com/:IIS Shortname Vulnerability Detected. Potentially Vulnerable Method/Techniques: [HEAD (301/403 HTTP Code)]:LOW
https://accounts.tesla.com/:IIS Shortname Vulnerability Detected. Potentially Vulnerable Method/Techniques: [OPTIONS (307/403 HTTP Code),HEAD (403/307 HTTP Code)]:LOW",,Kona SiteDefender (Akamai),"A:23.210.16.63, AAAA:2a02:26f0:6d00:691::700, AAAA:2a02:26f0:6d00:6aa::700, CNAME:accounts.tesla.com.edgekey.net"
akamai-apigateway-automation-billing.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-automation-billing.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-automation-billing.tesla.com.edgekey.net"
akamai-apigateway-automation.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-automation.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-automation.tesla.com.edgekey.net"
akamai-apigateway-bender.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://www.tesla.com/,,N/A,,,,"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-bender.tesla.com.edgekey.net"
akamai-apigateway-captiveunderwriting.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-captiveunderwriting.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-captiveunderwriting.tesla.com.edgekey.net"
akamai-apigateway-chargebackapi-stage.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5bc::700",,"80, 443",301 -> https://akamai-apigateway-chargebackapi-stage.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5bc::700, CNAME:akamai-apigateway-chargebackapi-stage.tesla.com.edgekey.net"
akamai-apigateway-chargebackapi.tesla.com,cdn-akamai,"104.80.228.227, 2.17.212.94, 2a02:26f0:6d00:598::700",,"80, 443",301 -> https://akamai-apigateway-chargebackapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:2.17.212.94, AAAA:2a02:26f0:6d00:598::700, CNAME:akamai-apigateway-chargebackapi.tesla.com.edgekey.net"
akamai-apigateway-charging-ownership-stage.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-charging-ownership-stage.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-sdlc-apps.tesla.com.edgekey.net"
akamai-apigateway-charging-ownership.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-charging-ownership.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-prd-api-apps.tesla.com.edgekey.net"
akamai-apigateway-claims-integration-api-stg.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-sdlc-apps.tesla.com.edgekey.net"
akamai-apigateway-claims-integration-api.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",403,Access Denied,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-prd-api-apps.tesla.com.edgekey.net"
akamai-apigateway-deliveryopsapi.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-deliveryopsapi.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-deliveryopsapi.tesla.com.edgekey.net"
akamai-apigateway-deliveryopsapi1.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:594::700, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-deliveryopsapi1.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:594::700, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-deliveryopsapi1.tesla.com.edgekey.net"
akamai-apigateway-deliveryopsvitu.tesla.com,cdn-akamai,"104.80.228.227, 2a02:26f0:6d00:598::700, 2a02:26f0:6d00:5b1::700",,"80, 443",301 -> https://akamai-apigateway-deliveryopsvitu.tesla.com/,Service Unavailable,N/A,,,Kona SiteDefender (Akamai),"A:104.80.228.227, AAAA:2a02:26f0:6d00:598::700, AAAA:2a02:26f0:6d00:5b1::700, CNAME:akamai-apigateway-deliveryopsvitu.tesla.com.edgekey.net"
